Mardrus_image,Mardrus_excerpt,Mathers_image,Mathers_excerpt
"T08, n0950 - Histoire de Baïbars [Histoire racontée par le neuvième capitaine]","...il entra dans le pavillon. Et il trouva la jeune fille morte. Et il s’assit à la pleurer, en récitant des vers sur sa beauté.","V04, n0950 - The tale of Al-Malik Baibars [The ninth captain’s tale]","He entered the pavilion and began to weep by the ivory bed, recalling verses in the praise of so much beauty."
"T08, n0955 - Histoire de la rose marine et de l'adolescente de Chine","...Nourgihân, dont le brillant visage éclairait seul les ténèbres, s’avançait d’un cœur d’acier dans cette forêt dont les arbres portaient, par endroits, en guise de fruits, des têtes d’êtres animés qui se mettaient à ricaner et à rire et tombaient par terre...","V04, n0955 - The tale of the sea rose of the girl of China","...the prince's shining face lit up the shadows, and he advanced, with a heart of steel, among trees bearing living heads which grinned and laughed and fell as he passed by..."
"T08, n0958 - Histoire de la rose marine et de l'adolescente de Chine","...elle arriva ainsi au jardin, et vit, dans le bassin d’or pur, sa rose marine épanouie comme jadis, au milieu de l’eau précieuse des roses, enchantement pour les yeux et baume pour l’odorat.","V04, n0958 - The tale of the sea rose of the girl of China","...she came to the royal garden and saw the sea rose blossoming, as of old, in the scented water of its gold pond."
"T08, n0963 - Histoire du gateau échevelé au miel d'abeilles","...Mârouf se fit apporter, par le vizir lui-même, des sacs et des sacs pleins d’or, et se mit à prendre les dinars et à les jeter par poignées à tout ce peuple tambourinant, dansant et tintamarrant.","V04, n0963 - The tale of the honey cake","...Maaruf had the wazir bring sack after sack of gold to cast among the shouting, singing, dancing mob."
"T08, n0969 - Histoire du gateau échevelé au miel d'abeilles","...le cortège fit son entrée dans la ville. Et Mârouf chevauchait en tête, plus brillant mille fois que le roi, et magnifique et triomphant...","V04, n0969 - The tale of the honey cake","...the escort, which had gone out to meet the caravan, returned to the city, and Maaruf pranced at its head, triumphant, magnificent, a thousand times more splendid than a king..."
"T08, n0973 - Les lucarnes du savoir et de l'histoire [Le poète Doreïd]","...Rabiah reconnut Doreïd, et regretta l’imprudence qu’il avait commise de ne s’être pas approprié la lance de son dernier agresseur. Toutefois il attendit Doreïd, droit sur sa selle, et le bois de sa lance brisée au poing.","V04, n0973 - Windows on the garden of history [The poet Duraid]","Though the sheikh of the Banu Firas regretted that he had not armed himself from the corpse of his third adversary, yet he halted straight in the saddle, and faced Duraid with the broken wood of his lance firmly at tilt."
"T08, n0977 - Les lucarnes du savoir et de l'histoire [Les maries appréciés par leurs épouses]","...moi, mon mari c’est Malik Abou-Zar, l’excellent Abou-Zar, connu de toutes nos tribus. Il m’a trouvée enfant d’une pauvre famille, dans la gêne et à l’étroit, et il m’a conduite dans sa tente aux belles couleurs...","V04, n0977 - Windows on the garden of history [Men in the judgment of their wives]","'My husband is Malik Abu Zar, that Abu Zar whom the tribes love. He found me the child of a poor house, he led me to his tent of colours..."
"T08, n0982 - Les lucarnes du savoir et de l'histoire [La favorite du destin]","...Al-Hadi était un jour assis dans ses jardins, sous une riche coupole soutenue par huit colonnes, qui avait quatre entrées dont chacune regardait un des points du ciel.","V04, n0982 - Windows on the garden of history [The tale of the slave of destiny]","One day al-Hadi sat in his garden, beneath a costly dome carried on eight columns and having four doors, each giving upon one of the cardinal points of the sky."
"T08, n0998 - Histoire du prince jasmin de la princesse amande","...sa demeure était dans les vastes solitudes et les pâturages. Et il était un jour assis à surveiller ses bêtes, en jouant de la flûte, quand il vit s’avancer de son côté un vénérable derviche...","V04, n0998 - The tender tale of prince Jasmine and princess Almond","As he sat one day in the lonely pasturage, watching his charges and playing upon the flute, a venerable darwish approached him..."
"T08, n1001 - Histoire du prince jasmin de la princesse amande","...ces deux amants bénis se prirent par la main et, plus légers que le zéphyr rosé, ils disparurent et s’évanouirent comme le camphre.","V04, n1001 - The tender tale of prince Jasmine and princess Almond","These two delightful children took hands and vanished, more lightly than the dew-wet breeze of morning."
